Week Ending,Federal Provider Number,Provider Name,Provider State,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
01/05/2025,15155,"Ridgeview Health Services, Inc",AL,Yes,Yes,0,429,0,52,0,0,0,363,0,134,45,33.582,217,0,0
01/05/2025,15156,Crowne Health Care Of Ft Payne,AL,Yes,Yes,0,254,0,26,0,0,0,284,0,118,50,42.373,179,13,7.263
01/05/2025,15157,Haleyville Health Care Center,AL,Yes,Yes,0,122,0,8,0,0,0,184,0,59,20,33.898,105,0,0
01/05/2025,15158,Diversicare Of Marion,AL,Yes,Yes,2,96,0,3,0,0,0,124,0,70,0,0,80,0,0
01/05/2025,15160,Sylacauga Health And Rehab Services,AL,Yes,Yes,0,281,0,15,0,0,0,234,0,124,62,50,177,0,0
01/05/2025,15164,Arabella Health & Wellness Of Butler,AL,Yes,Yes,0,98,0,13,0,0,0,81,0,66,23,34.848,113,3,2.655
01/05/2025,15166,Dadeville Healthcare Center,AL,Yes,Yes,0,200,0,9,0,0,0,154,0,101,56,55.446,133,8,6.015
01/05/2025,15168,Little Sisters Of The Poor Sacred Heart Residence,AL,Yes,Yes,0,73,0,4,0,0,0,188,0,37,25,67.568,179,0,0
01/05/2025,15174,Coosa Valley Health And Rehab,AL,Yes,Yes,0,129,0,10,0,0,0,117,0,64,0,0,115,7,6.087
01/05/2025,15177,Woodhaven Manor Nursing Home,AL,Yes,Yes,0,120,0,8,0,0,0,117,0,71,29,40.845,103,2,1.942
01/05/2025,15179,Parkwood Health Care Facility,AL,Yes,Yes,0,156,0,8,0,0,0,155,0,70,37,52.857,120,3,2.5
01/05/2025,15184,Cloverdale Rehabilitation And Nursing Center,AL,Yes,Yes,0,307,0,21,0,0,0,304,0,122,75,61.475,376,0,0
01/05/2025,15188,Jackson Health Care Facility,AL,Yes,Yes,0,179,0,3,0,0,0,135,0,89,54,60.674,240,0,0
01/05/2025,15189,Diversicare Of Pell City,AL,Yes,Yes,0,182,0,26,0,0,0,152,0,68,0,0,54,0,0
01/05/2025,15191,Brown Nursing Home,AL,Yes,Yes,0,107,0,1,0,0,0,120,0,61,41,67.213,114,10,8.772
01/05/2025,15192,"Arbor Springs Health And Rehab Center, Ltd",AL,Yes,Yes,0,179,0,22,0,0,0,159,0,138,60,43.478,173,52,30.058
01/05/2025,15195,Village At Cook Springs Skilled Nursing Facility,AL,Yes,Yes,0,246,0,23,0,0,0,149,0,132,2,1.515,279,1,0.358
01/05/2025,15197,Lafayette Extended Care,AL,Yes,Yes,0,88,0,1,0,0,0,70,0,58,21,36.207,143,0,0
01/05/2025,15200,Cherokee County Health And Rehabilitation Center,AL,Yes,Yes,22,399,0,31,1,0,0,411,0,191,2,1.047,271,0,0
01/05/2025,15201,"Generations Of Red Bay, Llc",AL,Yes,Yes,0,90,0,4,0,0,0,125,0,66,35,53.03,107,11,10.28
01/05/2025,15203,Attalla Health And Rehab,AL,Yes,Yes,0,130,0,7,0,0,0,200,0,98,9,9.184,141,7,4.965
01/05/2025,15204,Goodwater Healthcare Center,AL,Yes,Yes,0,120,0,3,0,0,0,69,0,66,57,86.364,129,38,29.457
01/05/2025,15207,Collinsville Healthcare & Rehab,AL,Yes,Yes,0,325,0,38,0,0,0,284,0,174,69,39.655,370,15,4.054
01/05/2025,15210,"Opp Health And Rehabilitation, Llc",AL,Yes,Yes,0,347,0,24,0,0,0,242,0,157,43,27.389,195,0,0
01/05/2025,15211,Twin Oaks Rehabilitation And Healthcare Center,AL,Yes,Yes,0,227,0,15,0,0,0,203,0,122,81,66.393,142,6,4.225
01/05/2025,15212,Self Skilled Nursing & Rehab,AL,Yes,Yes,3,119,0,12,0,0,0,106,3,94,52,55.319,148,1,0.676
01/05/2025,15214,Madison Manor Nursing Home,AL,Yes,Yes,0,129,0,1,0,0,0,135,0,72,38,52.778,125,8,6.4
01/05/2025,15215,Bibb Medical Center Nursing Home,AL,Yes,Yes,0,231,0,17,1,1,0,119,0,118,67,56.78,200,5,2.5
01/05/2025,15220,Crowne Health Care Of Thomasville,AL,Yes,Yes,0,167,0,5,0,0,0,179,0,81,40,49.383,99,11,11.111
01/05/2025,15221,"Chapman Healthcare Center, Inc",AL,Yes,Yes,0,186,0,10,0,0,0,248,0,149,84,56.376,220,1,0.455
01/05/2025,15223,Northside Health Care,AL,Yes,Yes,0,189,0,6,0,0,0,185,0,91,51,56.044,165,0,0
01/05/2025,15225,Barfield Health Care,AL,Yes,Yes,0,254,0,14,0,0,0,292,0,107,57,53.271,144,3,2.083
01/05/2025,15228,Arabella Health And Wellness Of Montgomery,AL,Yes,Yes,0,154,0,17,0,0,0,113,0,88,0,0,180,9,5
01/05/2025,15303,Arabella Health & Wellness Of Birmingham,AL,Yes,Yes,0,112,0,1,0,0,0,83,0,76,0,0,121,0,0
01/05/2025,15315,"Ridgewood Health Services, Inc.",AL,Yes,Yes,0,143,0,13,0,0,0,145,0,80,24,30,80,0,0
01/05/2025,15322,Englewood Health Care Center,AL,Yes,Yes,0,142,0,4,0,0,0,213,0,99,2,2.02,163,1,0.613
01/05/2025,15331,Arabella Health & Wellness Of Phenix City,AL,Yes,Yes,0,111,0,10,0,0,0,84,0,81,0,0,146,2,1.37
01/05/2025,15361,Lauderdale Christian Nursing Home,AL,Yes,Yes,0,150,0,16,0,0,0,148,0,56,23,41.071,106,0,0
01/05/2025,15369,Oaks On Parkwood Skilled Nursing Facility,AL,Yes,Yes,0,188,0,27,0,0,0,133,0,116,0,0,144,0,0
01/05/2025,15375,Anniston Health And Rehab Services,AL,Yes,Yes,0,107,0,2,0,0,0,90,0,79,0,0,161,0,0
01/05/2025,15378,Marshall Manor Nursing Home,AL,Yes,Yes,0,220,0,3,0,0,0,211,0,80,31,38.75,117,0,0
01/05/2025,15379,Mobile Nursing And Rehabilitation Center,AL,Yes,Yes,0,335,0,19,0,0,0,211,0,92,2,2.174,190,16,8.421
01/05/2025,15382,Canterbury Health Care Facility,AL,Yes,Yes,0,160,0,16,0,0,0,148,0,132,48,36.364,75,13,17.333
01/05/2025,15383,Woodland Village Rehabilitation And Healthcare Cen,AL,Yes,Yes,0,210,0,19,0,0,0,229,0,133,49,36.842,247,9,3.644
01/05/2025,15386,Adams Rehabilitation And Healthcare Center,AL,Yes,Yes,0,77,0,2,0,0,0,121,0,61,37,60.656,178,13,7.303
01/05/2025,15393,Crowne Health Care Of Montgomery,AL,Yes,Yes,0,246,0,32,0,0,0,247,0,143,78,54.545,242,15,6.198
01/05/2025,15396,Diversicare Of Greensboro,AL,Yes,Yes,0,168,0,22,0,0,0,156,0,78,35,44.872,69,0,0
01/05/2025,15397,Windsor House,AL,Yes,Yes,0,136,0,2,0,0,0,86,0,101,20,19.802,98,7,7.143
01/05/2025,15398,Monroe Manor Health & Rehabilitation Center,AL,Yes,Yes,0,146,0,9,0,0,0,212,0,78,0,0,122,0,0
01/05/2025,15400,Meadowview Nursing Center,AL,Yes,Yes,0,87,0,6,0,0,0,124,0,62,28,45.161,154,2,1.299
01/05/2025,15402,El Reposo Nursing Facility,AL,Yes,Yes,0,104,0,15,0,0,0,151,0,59,30,50.847,105,0,0
01/05/2025,15406,Arabella Health & Wellness Of Grand Bay,AL,Yes,Yes,0,86,0,10,0,0,0,68,0,67,0,0,105,5,4.762
01/05/2025,15407,Health Care Inc,AL,Yes,Yes,0,48,0,0,0,0,0,110,0,51,10,19.608,69,2,2.899
01/05/2025,15408,"Walker Rehabilitation Center, Inc",AL,Yes,Yes,0,88,0,6,0,0,0,116,0,44,14,31.818,75,2,2.667
01/05/2025,15411,Shelby Ridge Nursing Home,AL,Yes,Yes,0,255,0,13,0,0,0,304,0,132,45,34.091,191,2,1.047
01/05/2025,15414,Lafayette Nursing Home,AL,Yes,Yes,0,98,0,2,0,0,0,98,0,51,41,80.392,125,4,3.2
01/05/2025,15417,Crowne Healthcare Of North Baldwin,AL,Yes,Yes,0,123,0,5,0,0,0,153,0,69,33,47.826,126,4,3.175
01/05/2025,15420,Cumberland Health And Rehab,AL,Yes,Yes,0,159,0,24,0,0,0,222,0,76,35,46.053,122,1,0.82
01/05/2025,15424,Roanoke Rehabilitation & Healthcare Center,AL,Yes,Yes,15,160,0,6,0,0,0,149,0,59,0,0,75,0,0
01/05/2025,15426,Crowne Health Care Of Springhill,AL,Yes,Yes,0,27,0,2,0,0,0,70,0,42,9,21.429,123,1,0.813
01/05/2025,15433,St Martin'S In The Pines,AL,Yes,Yes,0,45,0,11,0,0,0,84,0,96,0,0,140,0,0
01/05/2025,15436,Hillview Terrace,AL,Yes,Yes,0,277,0,19,0,0,0,220,0,135,16,11.852,215,0,0
01/05/2025,15437,Folsom Rehabilitation And Healthcare Center,AL,Yes,Yes,0,142,0,18,0,0,0,236,0,90,15,16.667,154,2,1.299
01/05/2025,15446,Greenbriar At The Altamont Skilled Nursing Facilit,AL,Yes,Yes,0,172,0,11,0,0,0,140,0,86,78,90.698,152,0,0
01/05/2025,15447,Arabella Health And Wellness Of Fairhope,AL,Yes,Yes,0,105,0,2,0,0,0,87,0,72,0,0,112,11,9.821
01/05/2025,15448,South Hampton Nursing & Rehabilitation Center,AL,Yes,Yes,0,126,0,12,0,0,0,120,0,80,41,51.25,106,1,0.943
01/05/2025,15452,Arbor Lake Health And Rehab,AL,Yes,Yes,0,66,0,3,0,0,0,100,0,79,45,56.962,114,20,17.544
01/05/2025,15454,Fairview At Redstone Village,AL,Yes,Yes,0,104,0,16,0,0,0,150,0,55,35,63.636,125,5,4
01/05/2025,15455,Elite Nursing And Rehabilitation Care Center,AL,Yes,Yes,0,88,0,4,1,0,0,148,0,128,67,52.344,204,3,1.471
01/05/2025,15457,Kirkwood By The River,AL,Yes,Yes,0,61,0,7,0,0,0,25,0,55,30,54.545,97,0,0
01/05/2025,15467,Cavalier Healthcare Of Trussville,AL,Yes,Yes,0,119,0,10,0,0,0,92,0,100,48,48,131,43,32.824
01/05/2025,25010,Ketchikan Med Ctr New Horizons Transitional Care,AK,Yes,Yes,0,37,0,3,0,0,0,91,0,22,6,27.273,282,93,32.979
01/05/2025,25018,Providence Transitional Care Center,AK,Yes,Yes,0,108,0,3,0,0,0,219,0,48,18,37.5,109,5,4.587
01/05/2025,25019,Petersburg Medical Center Ltc,AK,Yes,Yes,0,19,0,0,0,0,0,88,0,14,10,71.429,102,2,1.961
01/05/2025,25024,Providence Seward Mountain Haven,AK,Yes,Yes,0,54,0,2,0,0,0,84,0,37,28,75.676,107,0,0
01/05/2025,25025,Centennial Post Acute,AK,Yes,Yes,0,159,0,11,0,0,0,196,0,97,37,38.144,152,2,1.316
01/05/2025,25027,Wildflower Court,AK,Yes,Yes,0,69,0,1,0,0,0,127,0,52,39,75,194,57,29.381
01/05/2025,25030,Providence Kodiak Island Med Ltc,AK,Yes,Yes,0,33,0,0,0,0,0,59,0,22,14,63.636,56,15,26.786
01/05/2025,25031,South Peninsula Hospital Ltc,AK,Yes,Yes,0,42,0,0,0,0,0,148,0,26,21,80.769,197,29,14.721
01/05/2025,25034,Providence Valdez Medical Center,AK,Yes,Yes,0,9,0,0,0,0,0,34,0,8,6,75,73,6,8.219
01/05/2025,25035,Utuqqanaat Inaat,AK,Yes,Yes,0,32,0,0,0,0,0,20,0,17,17,100,47,46,97.872
01/05/2025,25036,Providence Extended Care,AK,Yes,Yes,0,134,0,4,0,0,0,281,0,91,76,83.516,155,15,9.677
01/05/2025,35003,The Terraces Of Phoenix,AZ,Yes,Yes,0,89,0,5,0,0,0,79,0,53,25,47.17,101,11,10.891
01/05/2025,35004,Santa Rosa Care Center,AZ,Yes,Yes,0,218,0,14,0,0,0,99,0,117,73,62.393,176,11,6.25
01/05/2025,35059,Haven Of Scottsdale,AZ,Yes,Yes,0,81,0,6,0,0,0,68,0,52,13,25,78,0,0
01/05/2025,35062,Desert Haven Care Center,AZ,Yes,Yes,0,38,0,2,0,0,0,24,0,81,51,62.963,91,2,2.198
01/05/2025,35068,Pueblo Springs Rehabilitation Center,AZ,Yes,Yes,0,158,0,1,0,0,0,80,0,76,26,34.211,80,0,0
01/05/2025,35070,Casas Adobes Post Acute Rehab Center,AZ,Yes,Yes,0,298,0,39,0,0,0,265,0,161,48,29.814,157,2,1.274
01/05/2025,35071,Mission Palms Post Acute,AZ,Yes,Yes,0,63,0,32,0,0,0,50,0,151,24,15.894,228,0,0
01/05/2025,35072,Phoenix Mountain Post Acute,AZ,Yes,Yes,0,308,0,18,0,0,0,162,0,113,40,35.398,143,0,0
01/05/2025,35073,"Haven Health Green Valley, Llc",AZ,Yes,Yes,0,205,0,5,0,0,0,142,0,91,33,36.264,145,11,7.586
01/05/2025,35074,Friendship Village Of Tempe,AZ,Yes,Yes,0,242,0,9,0,0,0,441,0,135,91,67.407,313,87,27.796
01/05/2025,35076,Osborn Health And Rehabilitation,AZ,Yes,Yes,1,205,0,5,0,0,0,104,0,105,22,20.952,168,0,0
01/05/2025,35083,Heritage Court Post Acute Of Scottsdale,AZ,Yes,Yes,0,146,0,5,0,0,0,113,0,75,6,8,83,0,0
01/05/2025,35084,Plaza Healthcare,AZ,Yes,Yes,0,125,0,4,0,0,0,278,0,147,58,39.456,354,0,0
01/05/2025,35085,Haven Of Saguaro Valley,AZ,Yes,Yes,0,68,0,10,0,0,0,38,0,97,30,30.928,105,6,5.714
01/05/2025,35087,North Mountain Medical And Rehabilitation Center,AZ,Yes,Yes,0,61,0,4,0,0,0,152,0,149,47,31.544,429,31,7.226
01/05/2025,35088,Camelback Post Acute Care And Rehabilitation,AZ,Yes,Yes,0,60,0,4,0,0,0,4,0,89,10,11.236,106,0,0
01/05/2025,35091,Haven Of Flagstaff,AZ,Yes,Yes,0,72,0,2,0,0,0,24,0,81,47,58.025,120,8,6.667
01/05/2025,35092,Bella Vita Health And Rehabilitation Center,AZ,Yes,Yes,0,248,0,25,0,0,0,81,0,153,42,27.451,197,0,0
01/05/2025,35093,Haven Of Cottonwood,AZ,Yes,Yes,0,13,0,2,0,0,0,30,0,76,7,9.211,76,0,0
01/05/2025,35094,Haven Of Sedona,AZ,Yes,Yes,0,59,0,3,0,0,0,30,0,89,17,19.101,53,0,0
01/05/2025,35095,Desert Cove Nursing Center,AZ,Yes,Yes,0,139,0,13,0,0,0,118,0,67,6,8.955,206,1,0.485
01/05/2025,35096,"Haven Of Sandpointe, Llc",AZ,Yes,Yes,0,192,0,25,0,0,0,179,0,98,41,41.837,286,5,1.748
01/05/2025,35097,The Legacy Rehab & Care Center,AZ,Yes,Yes,0,191,0,13,0,0,0,149,0,73,19,26.027,222,0,0
01/05/2025,35099,Sandstone Of Tucson Rehab Centre,AZ,Yes,Yes,0,305,0,54,0,0,0,166,0,142,51,35.915,199,0,0
01/05/2025,35100,Havasu Nursing Center,AZ,Yes,Yes,0,115,0,1,0,0,0,70,0,47,0,0,68,0,0
01/05/2025,35101,Chandler Post Acute And Rehabilitation,AZ,Yes,Yes,0,83,0,13,0,0,0,59,0,105,1,0.952,194,20,10.309
01/05/2025,35103,Citadel Post Acute,AZ,Yes,Yes,0,261,0,15,0,0,0,107,0,121,8,6.612,150,0,0
01/05/2025,35105,Shea Post Acute Rehabilitation Center,AZ,Yes,Yes,0,178,0,12,0,0,0,63,0,111,26,23.423,157,15,9.554
01/05/2025,35106,Tempe Post Acute,AZ,Yes,Yes,1,60,0,2,0,0,0,44,0,62,17,27.419,98,0,0
01/05/2025,35110,Sun West Choice Healthcare & Rehab,AZ,Yes,Yes,0,187,0,34,0,0,0,60,0,128,69,53.906,173,0,0
01/05/2025,35111,Lake Pleasant Post Acute Rehabilitation Center,AZ,Yes,Yes,0,131,0,49,0,0,0,88,0,103,19,18.447,113,0,0
01/05/2025,35112,Apache Junction Health Center,AZ,Yes,Yes,0,239,0,25,0,0,0,152,0,148,61,41.216,281,9,3.203
01/05/2025,35114,Mountain View Manor,AZ,Yes,Yes,0,104,0,9,0,0,0,65,0,72,0,0,93,1,1.075
01/05/2025,35116,The Rehabilitation Center At The Palazzo,AZ,Yes,Yes,0,58,0,8,0,0,0,50,0,55,17,30.909,104,2,1.923
01/05/2025,35117,Payson Care Center,AZ,Yes,Yes,0,135,0,25,0,0,0,131,0,32,12,37.5,58,5,8.621
01/05/2025,35118,Haven Of Camp Verde,AZ,Yes,Yes,0,57,0,5,0,0,0,102,0,50,0,0,98,1,1.02
01/05/2025,35120,Mi Casa Nursing Center,AZ,Yes,Yes,0,259,0,15,0,0,0,130,0,112,38,33.929,277,6,2.166
01/05/2025,35121,Boswell Transitional Care Of Cascadia,AZ,Yes,Yes,0,189,0,3,0,0,0,173,0,97,12,12.371,179,4,2.235
01/05/2025,35125,Ridgecrest Post Acute,AZ,Yes,Yes,0,193,0,21,0,0,0,155,0,142,0,0,202,0,0
01/05/2025,35126,Life Care Center Of North Glendale,AZ,Yes,Yes,9,395,0,16,1,0,0,226,6,111,37,33.333,170,0,0
01/05/2025,35127,"Haven Health Prescott, Llc",AZ,Yes,Yes,0,118,0,9,0,0,0,107,0,65,0,0,134,0,0
01/05/2025,35130,Archstone Care Center,AZ,Yes,Yes,0,124,0,10,0,0,0,65,0,91,23,25.275,540,1,0.185
01/05/2025,35131,Granite Creek Health & Rehabilitation Center,AZ,Yes,Yes,0,169,0,20,0,0,0,73,0,108,13,12.037,114,0,0
01/05/2025,35132,Coronado Healthcare Center,AZ,Yes,Yes,1,332,0,11,0,0,0,171,0,153,54,35.294,191,20,10.471
01/05/2025,35133,Life Care Center Of Yuma,AZ,Yes,Yes,0,185,0,12,0,0,0,167,0,93,23,24.731,189,18,9.524
01/05/2025,35135,Montecito Post Acute Care And Rehabilitation,AZ,Yes,Yes,0,479,0,25,0,0,0,152,0,170,4,2.353,329,2,0.608
01/05/2025,35136,Life Care Center Of Sierra Vista,AZ,Yes,Yes,5,286,0,17,0,0,0,232,0,68,2,2.941,82,0,0
01/05/2025,35141,Heritage Health Care Center,AZ,Yes,Yes,0,170,0,9,0,0,0,153,0,68,24,35.294,107,0,0
01/05/2025,35143,Life Care Center Of Scottsdale,AZ,Yes,Yes,0,156,0,6,0,0,0,105,0,48,6,12.5,109,85,77.982
01/05/2025,35144,Peoria Post Acute And Rehabilitation,AZ,Yes,Yes,0,73,0,10,0,0,0,45,0,178,42,23.596,280,37,13.214
01/05/2025,35145,Devon Gables Rehabilitation Center,AZ,Yes,Yes,0,377,0,28,0,0,0,370,0,189,157,83.069,264,80,30.303
01/05/2025,35146,Life Care Center Of Paradise Valley,AZ,Yes,Yes,0,258,0,21,0,0,0,137,0,81,32,39.506,141,4,2.837
01/05/2025,35147,Villa Maria Post Acute And Rehabilitation,AZ,Yes,Yes,0,126,0,4,0,0,0,120,0,55,12,21.818,82,0,0
01/05/2025,35151,Sabino Canyon Rehabilitation & Care Center,AZ,Yes,Yes,0,105,0,10,0,0,0,40,0,106,20,18.868,106,91,85.849
01/05/2025,35152,Yuma Nursing Center,AZ,Yes,Yes,0,95,0,13,0,0,0,77,0,65,0,0,95,0,0
01/05/2025,35154,Providence Place At Glencroft,AZ,Yes,Yes,0,281,0,32,0,0,0,264,0,115,55,47.826,223,16,7.175
01/05/2025,35159,Horizon Post Acute And Rehabilitation Center,AZ,Yes,Yes,0,217,0,16,0,0,0,87,0,152,3,1.974,189,0,0
01/05/2025,35164,Desert Blossom Health & Rehab Center,AZ,Yes,Yes,0,191,0,8,0,0,0,89,0,93,4,4.301,122,0,0
01/05/2025,35165,Haven Of Tucson,AZ,Yes,Yes,0,173,0,30,0,0,0,126,0,109,10,9.174,156,11,7.051
01/05/2025,35166,Estrella Health And Rehabilitation Center,AZ,Yes,Yes,0,128,0,6,0,0,0,82,0,151,39,25.828,199,16,8.04
01/05/2025,35169,Desert Highlands Care Center,AZ,Yes,Yes,0,139,0,2,0,0,0,83,0,69,25,36.232,106,2,1.887
01/05/2025,35171,Alta Mesa Health And Rehabilitation,AZ,Yes,Yes,0,126,0,6,0,0,0,66,0,71,6,8.451,105,3,2.857
01/05/2025,35173,Christian Care Nursing Center,AZ,Yes,Yes,0,53,0,9,0,0,0,78,0,6,4,66.667,80,0,0
01/05/2025,35174,Park Avenue Health And Rehabilitation Center,AZ,Yes,Yes,0,334,0,16,0,0,0,185,0,137,33,24.088,127,0,0
01/05/2025,35176,Beatitudes Campus,AZ,Yes,Yes,0,97,0,14,0,0,0,124,0,50,19,38,143,3,2.098
01/05/2025,35183,Rio Vista Post Acute And Rehabilitation,AZ,Yes,Yes,0,136,0,10,0,0,0,53,0,133,31,23.308,181,25,13.812
01/05/2025,35189,La Canada Care Center,AZ,Yes,Yes,0,178,0,2,0,0,0,135,0,104,27,25.962,128,3,2.344
01/05/2025,35190,Catalina Post Acute And Rehabilitation,AZ,Yes,Yes,0,133,0,1,0,0,0,117,0,91,16,17.582,125,0,0
01/05/2025,35196,Sandridge Post Acute,AZ,Yes,Yes,0,204,0,7,0,0,0,112,0,133,22,16.541,140,0,0
01/05/2025,35197,Haven Of Yuma,AZ,Yes,Yes,0,216,0,20,0,0,0,146,0,100,34,34,160,0,0
01/05/2025,35205,Suncrest Healthcare Center,AZ,Yes,Yes,0,88,0,0,0,0,0,66,0,57,46,80.702,81,5,6.173
01/05/2025,35214,Good Samaritan Society-Quiburi Mission,AZ,Yes,Yes,0,94,0,5,0,0,0,98,0,47,11,23.404,75,0,0
01/05/2025,35216,Caring House,AZ,Yes,Yes,0,81,0,4,0,0,0,378,0,90,60,66.667,293,11,3.754
01/05/2025,35217,Rehab At Scottsdale Village Square,AZ,Yes,Yes,0,156,0,14,0,0,0,163,0,98,14,14.286,171,2,1.17
